json_file,week_section_number,word_count
s1-2023_InternFinalReport_LeiYang (1)-pages.json,7,214
s1-2023_InternFinalReport_LeiYang (1)-pages.json,8,271
s1-2023_InternFinalReport_LeiYang (1)-pages.json,9,233
s1-2023_InternFinalReport_LeiYang (1)-pages.json,10,297
s1-2023_InternFinalReport_LeiYang (1)-pages.json,11,334
s1-2023_Internship Final Report-pages.json,1,351
s1-2023_Internship Final Report-pages.json,2,515
s1-2023_Internship Final Report-pages.json,3,740
s1-2023_Internship Final Report-pages.json,4,529
s1-2023_Internship Final Report-pages.json,5,501
s1-2023_Internship Final Report-pages.json,6,490
s1-2023_Internship Final Report-pages.json,7,264
s1-2023_Internship Final Report-pages.json,8,515
s1-2023_Internship Final Report-pages.json,9,613
s1-2023_Internship Final Report-pages.json,10,515
s1-2023_Internship Final Report-pages.json,11,692
s1-2023_Internship Final Report-pages.json,12,456
s1-2023_Internship Final Report-pages.json,13,437
s2-2022_COMP8851 Internship Report-pages.json,1,428
s2-2022_COMP8851 Internship Report-pages.json,2,803
s2-2022_COMP8851 Internship Report-pages.json,3,564
s2-2022_COMP8851 Internship Report-pages.json,4,492
s2-2022_COMP8851 Internship Report-pages.json,5,597
s2-2022_COMP8851 Internship Report-pages.json,6,592
s2-2022_COMP8851 Internship Report-pages.json,7,541
s2-2022_COMP8851 Internship Report-pages.json,8,485
s2-2022_COMP8851 Internship Report-pages.json,9,386
s2-2022_COMP8851 Internship Report-pages.json,10,501
s2-2022_COMP8851 Internship Report-pages.json,11,397
s2-2022_COMP8851 Internship Report-pages.json,12,521
s2-2022_COMP8851 Internship Report-pages.json,13,201
s2-2022_COMP8851_Final_Report-pages.json,7,336
s2-2022_COMP8851_Final_Report-pages.json,8,194
s2-2022_COMP8851_Final_Report-pages.json,9,280
s2-2022_COMP8851_Final_Report-pages.json,10,263
s2-2022_COMP8851_Final_Report-pages.json,11,323
s2-2022_COMP8851_Final_Report-pages.json,12,354
s2-2022_COMP8851_Final_Report-pages.json,13,192
s2-2022_Final Internship Report -pages.json,1,173
s2-2022_Final Internship Report -pages.json,2,326
s2-2022_Final Internship Report -pages.json,3,247
s2-2022_Final Internship Report -pages.json,4,287
s2-2022_Final Internship Report -pages.json,5,259
s2-2022_Final Internship Report -pages.json,6,199
s2-2022_Final Internship Report -pages.json,7,385
s2-2022_Final Internship Report -pages.json,8,318
s2-2022_Final Internship Report -pages.json,9,262
s2-2022_Final Internship Report -pages.json,10,275
s2-2022_Final Internship Report -pages.json,11,280
s2-2022_Final Internship Report -pages.json,12,328
s2-2022_Final Internship Report -pages.json,13,217
s2-2022_Final report - with cover-pages.json,1,576
s2-2022_Final report - with cover-pages.json,2,664
s2-2022_Final report - with cover-pages.json,3,699
s2-2022_Final report - with cover-pages.json,4,595
s2-2022_Final report - with cover-pages.json,5,626
s2-2022_Final report - with cover-pages.json,6,797
s2-2022_Final report - with cover-pages.json,7,612
s2-2022_Final report - with cover-pages.json,8,521
s2-2022_Final report - with cover-pages.json,9,495
s2-2022_Final report - with cover-pages.json,10,646
s2-2022_Final report - with cover-pages.json,11,538
s2-2022_Final report - with cover-pages.json,12,553
s2-2022_final report-pages.json,1,518
s2-2022_final report-pages.json,2,422
s2-2022_final report-pages.json,3,473
s2-2022_final report-pages.json,4,537
s2-2022_final report-pages.json,5,286
s2-2022_final report-pages.json,6,320
s2-2022_final report-pages.json,7,152
s2-2022_final report-pages.json,8,196
s2-2022_final report-pages.json,9,302
s2-2022_final report-pages.json,10,200
s2-2022_final report-pages.json,11,468
s2-2022_final report-pages.json,12,347
s2-2022_Final_report_YIQUN_LI_47007567-pages.json,8,700
s2-2022_Final_report_YIQUN_LI_47007567-pages.json,9,555
s2-2022_Final_report_YIQUN_LI_47007567-pages.json,10,603
s2-2022_Final_report_YIQUN_LI_47007567-pages.json,11,587
s2-2022_Final_report_YIQUN_LI_47007567-pages.json,12,653
s2-2022_Final_report_YIQUN_LI_47007567-pages.json,13,432
s2-2022_Internship report-pages.json,4,823
s2-2022_Internship report-pages.json,5,687
s2-2022_Internship report-pages.json,6,362
s2-2022_Internship report-pages.json,7,192
s2-2022_Internship report-pages.json,8,254
s2-2022_Internship report-pages.json,9,204
s2-2022_Internship report-pages.json,10,298
s2-2022_Internship report-pages.json,11,319
s2-2022_Mahdi Kobeissi- Final Report (CyberCX)-pages.json,7,577
s2-2022_Mahdi Kobeissi- Final Report (CyberCX)-pages.json,8,403
s2-2022_Mahdi Kobeissi- Final Report (CyberCX)-pages.json,9,484
s2-2022_Mahdi Kobeissi- Final Report (CyberCX)-pages.json,10,400
s2-2022_Mahdi Kobeissi- Final Report (CyberCX)-pages.json,11,451
s2-2022_Mahdi Kobeissi- Final Report (CyberCX)-pages.json,12,484
